,Step,PalmasTotales,PalmasInfectadas,PalmasSanas,PalmasQuemadas,PalmasDetectadas,DronesTotales,DronesActivos,DronesCargando,EstacionesCarga,Cobertura,ObjetivosCompartidos
0,0,20,3,17,0,0,1,1,0,1,0.0,0
1,1,20,3,17,0,0,1,1,0,1,0.041666666666666664,0
2,2,20,3,17,0,0,1,1,0,1,0.0625,0
3,3,20,3,17,0,0,1,1,0,1,0.0625,0
4,4,20,3,17,0,0,1,1,0,1,0.0625,0
5,5,20,3,17,0,0,1,1,0,1,0.0625,0
6,6,20,3,17,0,0,1,1,0,1,0.0625,0
7,7,20,3,17,0,1,1,1,0,1,0.0625,1
8,8,20,3,17,0,1,1,1,0,1,0.0625,1
9,9,20,3,17,0,1,1,1,0,1,0.0625,1
10,10,20,3,17,0,0,1,1,0,1,0.041666666666666664,0
11,11,20,3,17,0,0,1,1,0,1,0.041666666666666664,0
12,12,20,3,17,0,0,1,1,0,1,0.0625,0
13,13,20,3,17,0,0,1,1,0,1,0.0625,0
14,14,20,3,17,0,0,1,1,0,1,0.0625,0
15,15,20,4,16,0,0,1,1,0,1,0.0625,0
16,16,20,4,16,0,0,1,1,0,1,0.0625,0
17,17,20,4,16,0,0,1,1,0,1,0.0625,0
18,18,20,4,16,0,0,1,1,0,1,0.0625,0
19,19,20,4,16,0,0,1,1,0,1,0.0625,0
20,20,20,5,15,0,0,1,1,0,1,0.0625,0
21,21,20,6,14,0,1,1,1,0,1,0.041666666666666664,1
22,22,20,6,14,0,2,1,1,0,1,0.041666666666666664,2
23,23,20,7,13,0,1,1,1,0,1,0.041666666666666664,1
24,24,20,7,13,0,1,1,1,0,1,0.041666666666666664,1
25,25,20,6,14,0,1,1,1,0,1,0.041666666666666664,1
26,26,20,6,14,0,0,1,1,0,1,0.041666666666666664,0
27,27,20,6,14,0,0,1,1,0,1,0.0625,0
28,28,20,6,14,0,0,1,1,0,1,0.0625,0
29,29,20,6,14,0,0,1,1,0,1,0.0625,0
30,30,20,7,13,0,0,1,1,0,1,0.0625,0
31,31,20,7,13,0,0,1,1,0,1,0.0625,0
32,32,20,7,13,0,0,1,1,0,1,0.0625,0
33,33,20,8,12,0,0,1,1,0,1,0.041666666666666664,0
34,34,20,8,12,0,0,1,1,0,1,0.041666666666666664,0
35,35,20,9,11,0,0,1,1,0,1,0.0625,0
36,36,20,9,11,0,0,1,1,0,1,0.0625,0
37,37,20,9,11,0,0,1,1,0,1,0.0625,0
38,38,20,9,11,0,0,1,1,0,1,0.0625,0
39,39,20,9,11,0,0,1,1,0,1,0.0625,0
40,40,20,10,10,0,1,1,1,0,1,0.0625,1
41,41,20,10,10,0,1,1,1,0,1,0.0625,1
42,42,20,10,10,0,1,1,1,0,1,0.0625,1
43,43,20,10,10,0,1,1,1,0,1,0.0625,1
44,44,20,10,10,0,1,1,1,0,1,0.0625,1
45,45,20,10,10,0,1,1,1,0,1,0.0625,1
46,46,20,10,10,0,1,1,1,0,1,0.0625,1
47,47,20,10,10,0,1,1,1,0,1,0.0625,1
48,48,20,10,10,0,1,1,1,0,1,0.0625,1
49,49,20,10,10,0,1,1,1,0,1,0.0625,1
50,50,20,10,10,0,1,1,1,0,1,0.0625,1
51,51,20,9,11,0,1,1,1,0,1,0.0625,1
52,52,20,9,11,0,0,1,1,0,1,0.0625,0
53,53,20,9,11,0,0,1,1,0,1,0.0625,0
54,54,20,10,10,0,0,1,1,0,1,0.0625,0
55,55,20,10,10,0,0,1,1,0,1,0.0625,0
56,56,20,10,10,0,0,1,1,0,1,0.0625,0
57,57,20,10,10,0,0,1,1,0,1,0.0625,0
58,58,20,10,10,0,0,1,1,0,1,0.0625,0
59,59,20,10,10,0,1,1,1,0,1,0.041666666666666664,1
60,60,20,12,8,0,2,1,1,0,1,0.041666666666666664,2
61,61,20,12,8,0,2,1,1,0,1,0.041666666666666664,2
62,62,20,12,8,0,2,1,1,0,1,0.041666666666666664,2
63,63,20,12,8,0,2,1,1,0,1,0.041666666666666664,2
64,64,20,12,8,0,2,1,1,0,1,0.041666666666666664,2
65,65,20,12,8,0,2,1,1,0,1,0.041666666666666664,2
66,66,20,12,8,0,3,1,1,0,1,0.041666666666666664,3
67,67,20,12,8,0,3,1,1,0,1,0.041666666666666664,3
68,68,20,12,8,0,3,1,0,1,1,0.041666666666666664,3
69,69,20,12,8,0,3,1,1,0,1,0.041666666666666664,3
70,70,20,12,8,0,3,1,1,0,1,0.0625,3
71,71,20,12,8,0,3,1,1,0,1,0.0625,3
72,72,20,12,8,0,3,1,1,0,1,0.0625,3
73,73,20,12,8,0,3,1,1,0,1,0.0625,3
74,74,20,12,8,0,3,1,1,0,1,0.0625,3
75,75,20,12,8,0,3,1,1,0,1,0.0625,3
