,Step,PalmasTotales,PalmasInfectadas,PalmasSanas,PalmasQuemadas,PalmasDetectadas,DronesTotales,DronesActivos,DronesCargando,EstacionesCarga,Cobertura,ObjetivosCompartidos
0,0,28,3,25,0,0,3,3,0,3,0.0,0
1,1,28,5,23,0,0,3,3,0,3,0.14583333333333334,0
2,2,28,6,22,0,0,3,3,0,3,0.125,0
3,3,28,10,18,0,0,3,3,0,3,0.14583333333333334,0
4,4,28,11,17,0,0,3,3,0,3,0.14583333333333334,0
5,5,28,11,17,0,0,3,3,0,3,0.16666666666666666,0
6,6,28,12,16,0,1,3,3,0,3,0.16666666666666666,1
7,7,28,13,15,0,3,3,3,0,3,0.1875,3
8,8,28,13,15,0,3,3,3,0,3,0.1875,3
9,9,28,14,14,0,3,3,3,0,3,0.18055555555555555,3
10,10,28,13,15,0,4,3,3,0,3,0.1736111111111111,4
11,11,28,12,16,0,3,3,3,0,3,0.16666666666666666,3
12,12,28,12,16,0,2,3,3,0,3,0.125,2
13,13,28,13,15,0,3,3,3,0,3,0.16666666666666666,3
14,14,28,12,16,0,3,3,3,0,3,0.13194444444444445,3
15,15,28,12,16,0,2,3,3,0,3,0.14583333333333334,2
16,16,28,12,16,0,3,3,3,0,3,0.10416666666666667,3
17,17,28,11,17,0,2,3,3,0,3,0.1388888888888889,2
18,18,28,11,17,0,2,3,3,0,3,0.125,2
19,19,28,11,17,0,1,3,3,0,3,0.1527777777777778,1
20,20,28,11,17,0,1,3,3,0,3,0.125,1
21,21,28,13,15,0,5,3,3,0,3,0.11805555555555555,5
22,22,28,13,15,0,4,3,3,0,3,0.10416666666666667,4
23,23,28,11,17,0,3,3,3,0,3,0.10416666666666667,3
24,24,28,11,17,0,2,3,3,0,3,0.125,2
25,25,28,11,17,0,1,3,3,0,3,0.10416666666666667,1
26,26,28,11,17,0,1,3,3,0,3,0.13194444444444445,1
27,27,28,12,16,0,2,3,3,0,3,0.125,2
28,28,28,11,17,0,2,3,3,0,3,0.125,2
29,29,28,11,17,0,2,3,3,0,3,0.125,2
30,30,28,10,18,0,4,3,3,0,3,0.13194444444444445,4
31,31,28,10,18,0,4,3,3,0,3,0.14583333333333334,4
32,32,28,10,18,0,4,3,3,0,3,0.14583333333333334,4
33,33,28,10,18,0,5,3,3,0,3,0.14583333333333334,5
34,34,28,10,18,0,5,3,3,0,3,0.14583333333333334,5
35,35,28,12,16,0,4,3,3,0,3,0.14583333333333334,4
36,36,28,14,14,0,4,3,3,0,3,0.125,4
37,37,28,13,15,0,3,3,3,0,3,0.10416666666666667,3
38,38,28,13,15,0,3,3,3,0,3,0.125,3
39,39,28,12,16,0,3,3,3,0,3,0.14583333333333334,3
40,40,28,12,16,0,5,3,3,0,3,0.125,5
41,41,28,13,15,0,6,3,3,0,3,0.13194444444444445,6
42,42,28,12,16,0,5,3,3,0,3,0.13194444444444445,5
43,43,28,12,16,0,5,3,3,0,3,0.11805555555555555,5
44,44,28,13,15,0,6,3,3,0,3,0.125,6
45,45,28,14,14,0,6,3,3,0,3,0.10416666666666667,6
46,46,28,14,14,0,6,3,3,0,3,0.09027777777777778,6
47,47,28,14,14,0,6,3,3,0,3,0.09027777777777778,6
48,48,28,14,14,0,6,3,3,0,3,0.09027777777777778,6
49,49,28,15,13,0,6,3,3,0,3,0.10416666666666667,6
50,50,28,15,13,0,6,3,3,0,3,0.1111111111111111,6
51,51,28,14,14,0,5,3,3,0,3,0.1111111111111111,5
52,52,28,15,13,0,5,3,3,0,3,0.11805555555555555,5
53,53,28,16,12,0,5,3,3,0,3,0.11805555555555555,5
54,54,28,15,13,0,5,3,3,0,3,0.11805555555555555,5
55,55,28,15,13,0,4,3,3,0,3,0.09722222222222222,4
56,56,28,15,13,0,4,3,3,0,3,0.08333333333333333,4
57,57,28,16,12,0,4,3,3,0,3,0.08333333333333333,4
58,58,28,17,11,0,4,3,3,0,3,0.09722222222222222,4
59,59,28,17,11,0,4,3,3,0,3,0.09027777777777778,4
60,60,28,17,11,0,4,3,3,0,3,0.09027777777777778,4
61,61,28,17,11,0,4,3,3,0,3,0.10416666666666667,4
62,62,28,17,11,0,4,3,3,0,3,0.125,4
63,63,28,17,11,0,4,3,3,0,3,0.14583333333333334,4
64,64,28,17,11,0,5,3,3,0,3,0.14583333333333334,5
65,65,28,17,11,0,5,3,3,0,3,0.125,5
66,66,28,17,11,0,5,3,3,0,3,0.1388888888888889,5
67,67,28,16,12,0,5,3,3,0,3,0.1111111111111111,5
68,68,28,17,11,0,4,3,3,0,3,0.09722222222222222,4
69,69,28,17,11,0,5,3,3,0,3,0.09027777777777778,5
70,70,28,16,12,0,5,3,3,0,3,0.09027777777777778,5
71,71,28,17,11,0,4,3,3,0,3,0.06944444444444445,4
72,72,28,17,11,0,4,3,3,0,3,0.06944444444444445,4
73,73,28,17,11,0,4,3,3,0,3,0.06944444444444445,4
74,74,28,17,11,0,4,3,3,0,3,0.09027777777777778,4
75,75,28,18,10,0,5,3,3,0,3,0.10416666666666667,5
76,76,28,19,9,0,6,3,3,0,3,0.09722222222222222,6
77,77,28,18,10,0,6,3,3,0,3,0.09722222222222222,6
78,78,28,18,10,0,5,3,3,0,3,0.09722222222222222,5
79,79,28,19,9,0,5,3,3,0,3,0.11805555555555555,5
80,80,28,19,9,0,6,3,3,0,3,0.11805555555555555,6
81,81,28,18,10,0,6,3,3,0,3,0.11805555555555555,6
82,82,28,18,10,0,5,3,3,0,3,0.10416666666666667,5
83,83,28,18,10,0,5,3,3,0,3,0.09027777777777778,5
84,84,28,19,9,0,6,3,3,0,3,0.09027777777777778,6
85,85,28,18,10,0,6,3,3,0,3,0.09027777777777778,6
86,86,28,17,11,0,4,3,3,0,3,0.0763888888888889,4
87,87,28,18,10,0,4,3,3,0,3,0.1111111111111111,4
88,88,28,18,10,0,4,3,3,0,3,0.09722222222222222,4
89,89,28,17,11,0,3,3,3,0,3,0.09722222222222222,3
90,90,28,17,11,0,3,3,3,0,3,0.11805555555555555,3
91,91,28,16,11,0,3,3,3,0,3,0.13194444444444445,3
92,92,28,16,11,0,3,3,3,0,3,0.10416666666666667,3
93,93,28,16,11,0,3,3,3,0,3,0.1388888888888889,3
94,94,28,16,11,0,3,3,3,0,3,0.10416666666666667,3
95,95,28,16,11,0,3,3,3,0,3,0.1388888888888889,3
96,96,28,17,10,0,4,3,3,0,3,0.10416666666666667,4
97,97,28,16,11,0,4,3,3,0,3,0.13194444444444445,4
98,98,28,14,12,0,2,3,3,0,3,0.125,2
99,99,28,15,11,0,2,3,3,0,3,0.10416666666666667,2
100,100,28,14,12,0,3,3,3,0,3,0.10416666666666667,3
101,101,28,14,12,0,2,3,3,0,3,0.14583333333333334,2
