Step,AgentID,pos,x,y,agent_type,agent_state,palm_health,drone_battery_level,drone_position_target,drone_on_mission,drone_is_charging,drone_is_curing
0,112,"(9, 3)",9,3,GridCellAgent,,,,,,,
0,113,"(9, 4)",9,4,GridCellAgent,,,,,,,
0,114,"(9, 5)",9,5,GridCellAgent,,,,,,,
0,115,"(9, 6)",9,6,GridCellAgent,,,,,,,
0,116,"(9, 7)",9,7,GridCellAgent,,,,,,,
0,117,"(9, 8)",9,8,GridCellAgent,,,,,,,
0,118,"(9, 9)",9,9,GridCellAgent,,,,,,,
0,119,"(9, 10)",9,10,GridCellAgent,,,,,,,
0,120,"(9, 11)",9,11,GridCellAgent,,,,,,,
0,121,"(10, 0)",10,0,GridCellAgent,,,,,,,
0,122,"(10, 1)",10,1,GridCellAgent,,,,,,,
0,123,"(10, 2)",10,2,GridCellAgent,,,,,,,
0,124,"(10, 3)",10,3,GridCellAgent,,,,,,,
0,125,"(10, 4)",10,4,GridCellAgent,,,,,,,
0,126,"(10, 5)",10,5,GridCellAgent,,,,,,,
0,127,"(10, 6)",10,6,GridCellAgent,,,,,,,
0,128,"(10, 7)",10,7,GridCellAgent,,,,,,,
0,129,"(10, 8)",10,8,GridCellAgent,,,,,,,
0,130,"(10, 9)",10,9,GridCellAgent,,,,,,,
0,131,"(10, 10)",10,10,GridCellAgent,,,,,,,
0,132,"(10, 11)",10,11,GridCellAgent,,,,,,,
0,133,"(11, 0)",11,0,GridCellAgent,,,,,,,
0,134,"(11, 1)",11,1,GridCellAgent,,,,,,,
0,135,"(11, 2)",11,2,GridCellAgent,,,,,,,
0,136,"(11, 3)",11,3,GridCellAgent,,,,,,,
0,137,"(11, 4)",11,4,GridCellAgent,,,,,,,
0,138,"(11, 5)",11,5,GridCellAgent,,,,,,,
0,139,"(11, 6)",11,6,GridCellAgent,,,,,,,
0,140,"(11, 7)",11,7,GridCellAgent,,,,,,,
0,141,"(11, 8)",11,8,GridCellAgent,,,,,,,
0,142,"(11, 9)",11,9,GridCellAgent,,,,,,,
0,143,"(11, 10)",11,10,GridCellAgent,,,,,,,
0,144,"(11, 11)",11,11,GridCellAgent,,,,,,,
0,145,"(0, 9)",0,9,ChargingStationAgent,,,,,,,
0,146,"(0, 9)",0,9,DroneAgent,exploring,,100.0,,False,False,False
0,147,"(11, 3)",11,3,ChargingStationAgent,,,,,,,
0,148,"(11, 3)",11,3,DroneAgent,exploring,,100.0,,False,False,False
0,149,"(1, 0)",1,0,ChargingStationAgent,,,,,,,
0,150,"(1, 0)",1,0,DroneAgent,exploring,,100.0,,False,False,False
0,151,"(0, 2)",0,2,PalmAgent,infectada,100.0,,,,,
0,152,"(1, 10)",1,10,PalmAgent,verde,100.0,,,,,
0,153,"(2, 9)",2,9,PalmAgent,verde,100.0,,,,,
0,154,"(3, 0)",3,0,PalmAgent,verde,100.0,,,,,
0,155,"(3, 3)",3,3,PalmAgent,verde,100.0,,,,,
0,156,"(3, 11)",3,11,PalmAgent,verde,100.0,,,,,
0,157,"(4, 3)",4,3,PalmAgent,verde,100.0,,,,,
0,158,"(5, 0)",5,0,PalmAgent,verde,100.0,,,,,
0,159,"(5, 4)",5,4,PalmAgent,verde,100.0,,,,,
0,160,"(6, 8)",6,8,PalmAgent,verde,100.0,,,,,
0,161,"(8, 7)",8,7,PalmAgent,verde,100.0,,,,,
0,162,"(8, 10)",8,10,PalmAgent,verde,100.0,,,,,
0,163,"(10, 2)",10,2,PalmAgent,verde,100.0,,,,,
0,164,"(11, 7)",11,7,PalmAgent,verde,100.0,,,,,
1,1,"(0, 0)",0,0,GridCellAgent,,,,,,,
1,2,"(0, 1)",0,1,GridCellAgent,,,,,,,
1,3,"(0, 2)",0,2,GridCellAgent,,,,,,,
1,4,"(0, 3)",0,3,GridCellAgent,,,,,,,
1,5,"(0, 4)",0,4,GridCellAgent,,,,,,,
1,6,"(0, 5)",0,5,GridCellAgent,,,,,,,
1,7,"(0, 6)",0,6,GridCellAgent,,,,,,,
1,8,"(0, 7)",0,7,GridCellAgent,,,,,,,
1,9,"(0, 8)",0,8,GridCellAgent,,,,,,,
1,10,"(0, 9)",0,9,GridCellAgent,,,,,,,
1,11,"(0, 10)",0,10,GridCellAgent,,,,,,,
1,12,"(0, 11)",0,11,GridCellAgent,,,,,,,
1,13,"(1, 0)",1,0,GridCellAgent,,,,,,,
1,14,"(1, 1)",1,1,GridCellAgent,,,,,,,
1,15,"(1, 2)",1,2,GridCellAgent,,,,,,,
1,16,"(1, 3)",1,3,GridCellAgent,,,,,,,
1,17,"(1, 4)",1,4,GridCellAgent,,,,,,,
1,18,"(1, 5)",1,5,GridCellAgent,,,,,,,
1,19,"(1, 6)",1,6,GridCellAgent,,,,,,,
1,20,"(1, 7)",1,7,GridCellAgent,,,,,,,
1,21,"(1, 8)",1,8,GridCellAgent,,,,,,,
1,22,"(1, 9)",1,9,GridCellAgent,,,,,,,
1,23,"(1, 10)",1,10,GridCellAgent,,,,,,,
1,24,"(1, 11)",1,11,GridCellAgent,,,,,,,
1,25,"(2, 0)",2,0,GridCellAgent,,,,,,,
1,26,"(2, 1)",2,1,GridCellAgent,,,,,,,
1,27,"(2, 2)",2,2,GridCellAgent,,,,,,,
1,28,"(2, 3)",2,3,GridCellAgent,,,,,,,
1,29,"(2, 4)",2,4,GridCellAgent,,,,,,,
1,30,"(2, 5)",2,5,GridCellAgent,,,,,,,
1,31,"(2, 6)",2,6,GridCellAgent,,,,,,,
1,32,"(2, 7)",2,7,GridCellAgent,,,,,,,
1,33,"(2, 8)",2,8,GridCellAgent,,,,,,,
1,34,"(2, 9)",2,9,GridCellAgent,,,,,,,
1,35,"(2, 10)",2,10,GridCellAgent,,,,,,,
1,36,"(2, 11)",2,11,GridCellAgent,,,,,,,
1,37,"(3, 0)",3,0,GridCellAgent,,,,,,,
1,38,"(3, 1)",3,1,GridCellAgent,,,,,,,
1,39,"(3, 2)",3,2,GridCellAgent,,,,,,,
1,40,"(3, 3)",3,3,GridCellAgent,,,,,,,
1,41,"(3, 4)",3,4,GridCellAgent,,,,,,,
1,42,"(3, 5)",3,5,GridCellAgent,,,,,,,
1,43,"(3, 6)",3,6,GridCellAgent,,,,,,,
1,44,"(3, 7)",3,7,GridCellAgent,,,,,,,
1,45,"(3, 8)",3,8,GridCellAgent,,,,,,,
1,46,"(3, 9)",3,9,GridCellAgent,,,,,,,
1,47,"(3, 10)",3,10,GridCellAgent,,,,,,,
1,48,"(3, 11)",3,11,GridCellAgent,,,,,,,
1,49,"(4, 0)",4,0,GridCellAgent,,,,,,,
1,50,"(4, 1)",4,1,GridCellAgent,,,,,,,
1,51,"(4, 2)",4,2,GridCellAgent,,,,,,,
1,52,"(4, 3)",4,3,GridCellAgent,,,,,,,
1,53,"(4, 4)",4,4,GridCellAgent,,,,,,,
1,54,"(4, 5)",4,5,GridCellAgent,,,,,,,
1,55,"(4, 6)",4,6,GridCellAgent,,,,,,,
1,56,"(4, 7)",4,7,GridCellAgent,,,,,,,
1,57,"(4, 8)",4,8,GridCellAgent,,,,,,,
1,58,"(4, 9)",4,9,GridCellAgent,,,,,,,
1,59,"(4, 10)",4,10,GridCellAgent,,,,,,,
1,60,"(4, 11)",4,11,GridCellAgent,,,,,,,
1,61,"(5, 0)",5,0,GridCellAgent,,,,,,,
1,62,"(5, 1)",5,1,GridCellAgent,,,,,,,
1,63,"(5, 2)",5,2,GridCellAgent,,,,,,,
1,64,"(5, 3)",5,3,GridCellAgent,,,,,,,
1,65,"(5, 4)",5,4,GridCellAgent,,,,,,,
1,66,"(5, 5)",5,5,GridCellAgent,,,,,,,
1,67,"(5, 6)",5,6,GridCellAgent,,,,,,,
1,68,"(5, 7)",5,7,GridCellAgent,,,,,,,
1,69,"(5, 8)",5,8,GridCellAgent,,,,,,,
1,70,"(5, 9)",5,9,GridCellAgent,,,,,,,
1,71,"(5, 10)",5,10,GridCellAgent,,,,,,,
1,72,"(5, 11)",5,11,GridCellAgent,,,,,,,
1,73,"(6, 0)",6,0,GridCellAgent,,,,,,,
1,74,"(6, 1)",6,1,GridCellAgent,,,,,,,
1,75,"(6, 2)",6,2,GridCellAgent,,,,,,,
1,76,"(6, 3)",6,3,GridCellAgent,,,,,,,
1,77,"(6, 4)",6,4,GridCellAgent,,,,,,,
1,78,"(6, 5)",6,5,GridCellAgent,,,,,,,
1,79,"(6, 6)",6,6,GridCellAgent,,,,,,,
1,80,"(6, 7)",6,7,GridCellAgent,,,,,,,
1,81,"(6, 8)",6,8,GridCellAgent,,,,,,,
1,82,"(6, 9)",6,9,GridCellAgent,,,,,,,
1,83,"(6, 10)",6,10,GridCellAgent,,,,,,,
1,84,"(6, 11)",6,11,GridCellAgent,,,,,,,
1,85,"(7, 0)",7,0,GridCellAgent,,,,,,,
1,86,"(7, 1)",7,1,GridCellAgent,,,,,,,
1,87,"(7, 2)",7,2,GridCellAgent,,,,,,,
1,88,"(7, 3)",7,3,GridCellAgent,,,,,,,
1,89,"(7, 4)",7,4,GridCellAgent,,,,,,,
1,90,"(7, 5)",7,5,GridCellAgent,,,,,,,
1,91,"(7, 6)",7,6,GridCellAgent,,,,,,,
1,92,"(7, 7)",7,7,GridCellAgent,,,,,,,
1,93,"(7, 8)",7,8,GridCellAgent,,,,,,,
1,94,"(7, 9)",7,9,GridCellAgent,,,,,,,
1,95,"(7, 10)",7,10,GridCellAgent,,,,,,,
1,96,"(7, 11)",7,11,GridCellAgent,,,,,,,
1,97,"(8, 0)",8,0,GridCellAgent,,,,,,,
1,98,"(8, 1)",8,1,GridCellAgent,,,,,,,
1,99,"(8, 2)",8,2,GridCellAgent,,,,,,,
1,100,"(8, 3)",8,3,GridCellAgent,,,,,,,
1,101,"(8, 4)",8,4,GridCellAgent,,,,,,,
1,102,"(8, 5)",8,5,GridCellAgent,,,,,,,
1,103,"(8, 6)",8,6,GridCellAgent,,,,,,,
1,104,"(8, 7)",8,7,GridCellAgent,,,,,,,
1,105,"(8, 8)",8,8,GridCellAgent,,,,,,,
1,106,"(8, 9)",8,9,GridCellAgent,,,,,,,
1,107,"(8, 10)",8,10,GridCellAgent,,,,,,,
1,108,"(8, 11)",8,11,GridCellAgent,,,,,,,
1,109,"(9, 0)",9,0,GridCellAgent,,,,,,,
1,110,"(9, 1)",9,1,GridCellAgent,,,,,,,
1,111,"(9, 2)",9,2,GridCellAgent,,,,,,,
1,112,"(9, 3)",9,3,GridCellAgent,,,,,,,
1,113,"(9, 4)",9,4,GridCellAgent,,,,,,,
1,114,"(9, 5)",9,5,GridCellAgent,,,,,,,
1,115,"(9, 6)",9,6,GridCellAgent,,,,,,,
1,116,"(9, 7)",9,7,GridCellAgent,,,,,,,
1,117,"(9, 8)",9,8,GridCellAgent,,,,,,,
1,118,"(9, 9)",9,9,GridCellAgent,,,,,,,
1,119,"(9, 10)",9,10,GridCellAgent,,,,,,,
1,120,"(9, 11)",9,11,GridCellAgent,,,,,,,
1,121,"(10, 0)",10,0,GridCellAgent,,,,,,,
1,122,"(10, 1)",10,1,GridCellAgent,,,,,,,
1,123,"(10, 2)",10,2,GridCellAgent,,,,,,,
1,124,"(10, 3)",10,3,GridCellAgent,,,,,,,
1,125,"(10, 4)",10,4,GridCellAgent,,,,,,,
1,126,"(10, 5)",10,5,GridCellAgent,,,,,,,
1,127,"(10, 6)",10,6,GridCellAgent,,,,,,,
1,128,"(10, 7)",10,7,GridCellAgent,,,,,,,
1,129,"(10, 8)",10,8,GridCellAgent,,,,,,,
1,130,"(10, 9)",10,9,GridCellAgent,,,,,,,
1,131,"(10, 10)",10,10,GridCellAgent,,,,,,,
1,132,"(10, 11)",10,11,GridCellAgent,,,,,,,
1,133,"(11, 0)",11,0,GridCellAgent,,,,,,,
1,134,"(11, 1)",11,1,GridCellAgent,,,,,,,
1,135,"(11, 2)",11,2,GridCellAgent,,,,,,,
1,136,"(11, 3)",11,3,GridCellAgent,,,,,,,
1,137,"(11, 4)",11,4,GridCellAgent,,,,,,,
1,138,"(11, 5)",11,5,GridCellAgent,,,,,,,
1,139,"(11, 6)",11,6,GridCellAgent,,,,,,,
1,140,"(11, 7)",11,7,GridCellAgent,,,,,,,
1,141,"(11, 8)",11,8,GridCellAgent,,,,,,,
1,142,"(11, 9)",11,9,GridCellAgent,,,,,,,
1,143,"(11, 10)",11,10,GridCellAgent,,,,,,,
1,144,"(11, 11)",11,11,GridCellAgent,,,,,,,
1,145,"(0, 9)",0,9,ChargingStationAgent,,,,,,,
1,146,"(1, 8)",1,8,DroneAgent,exploring,,99.0,,False,False,False
1,147,"(11, 3)",11,3,ChargingStationAgent,,,,,,,
1,148,"(10, 3)",10,3,DroneAgent,exploring,,99.0,,False,False,False
1,149,"(1, 0)",1,0,ChargingStationAgent,,,,,,,
1,150,"(0, 1)",0,1,DroneAgent,exploring,,99.0,,False,False,False
1,151,"(0, 2)",0,2,PalmAgent,infectada,98.9952547815097,,,,,
1,152,"(1, 10)",1,10,PalmAgent,verde,100.0,,,,,
1,153,"(2, 9)",2,9,PalmAgent,verde,100.0,,,,,
1,154,"(3, 0)",3,0,PalmAgent,verde,100.0,,,,,
1,155,"(3, 3)",3,3,PalmAgent,verde,100.0,,,,,
1,156,"(3, 11)",3,11,PalmAgent,verde,100.0,,,,,
1,157,"(4, 3)",4,3,PalmAgent,verde,100.0,,,,,
1,158,"(5, 0)",5,0,PalmAgent,verde,100.0,,,,,
1,159,"(5, 4)",5,4,PalmAgent,verde,100.0,,,,,
1,160,"(6, 8)",6,8,PalmAgent,verde,100.0,,,,,
1,161,"(8, 7)",8,7,PalmAgent,verde,100.0,,,,,
1,162,"(8, 10)",8,10,PalmAgent,verde,100.0,,,,,
1,163,"(10, 2)",10,2,PalmAgent,verde,100.0,,,,,
1,164,"(11, 7)",11,7,PalmAgent,verde,100.0,,,,,
2,1,"(0, 0)",0,0,GridCellAgent,,,,,,,
2,2,"(0, 1)",0,1,GridCellAgent,,,,,,,
2,3,"(0, 2)",0,2,GridCellAgent,,,,,,,
2,4,"(0, 3)",0,3,GridCellAgent,,,,,,,
2,5,"(0, 4)",0,4,GridCellAgent,,,,,,,
2,6,"(0, 5)",0,5,GridCellAgent,,,,,,,
2,7,"(0, 6)",0,6,GridCellAgent,,,,,,,
2,8,"(0, 7)",0,7,GridCellAgent,,,,,,,
2,9,"(0, 8)",0,8,GridCellAgent,,,,,,,
2,10,"(0, 9)",0,9,GridCellAgent,,,,,,,
2,11,"(0, 10)",0,10,GridCellAgent,,,,,,,
2,12,"(0, 11)",0,11,GridCellAgent,,,,,,,
2,13,"(1, 0)",1,0,GridCellAgent,,,,,,,
2,14,"(1, 1)",1,1,GridCellAgent,,,,,,,
2,15,"(1, 2)",1,2,GridCellAgent,,,,,,,
2,16,"(1, 3)",1,3,GridCellAgent,,,,,,,
2,17,"(1, 4)",1,4,GridCellAgent,,,,,,,
2,18,"(1, 5)",1,5,GridCellAgent,,,,,,,
2,19,"(1, 6)",1,6,GridCellAgent,,,,,,,
2,20,"(1, 7)",1,7,GridCellAgent,,,,,,,
2,21,"(1, 8)",1,8,GridCellAgent,,,,,,,
2,22,"(1, 9)",1,9,GridCellAgent,,,,,,,
2,23,"(1, 10)",1,10,GridCellAgent,,,,,,,
2,24,"(1, 11)",1,11,GridCellAgent,,,,,,,
2,25,"(2, 0)",2,0,GridCellAgent,,,,,,,
2,26,"(2, 1)",2,1,GridCellAgent,,,,,,,
2,27,"(2, 2)",2,2,GridCellAgent,,,,,,,
2,28,"(2, 3)",2,3,GridCellAgent,,,,,,,
2,29,"(2, 4)",2,4,GridCellAgent,,,,,,,
2,30,"(2, 5)",2,5,GridCellAgent,,,,,,,
2,31,"(2, 6)",2,6,GridCellAgent,,,,,,,
2,32,"(2, 7)",2,7,GridCellAgent,,,,,,,
2,33,"(2, 8)",2,8,GridCellAgent,,,,,,,
2,34,"(2, 9)",2,9,GridCellAgent,,,,,,,
2,35,"(2, 10)",2,10,GridCellAgent,,,,,,,
2,36,"(2, 11)",2,11,GridCellAgent,,,,,,,
2,37,"(3, 0)",3,0,GridCellAgent,,,,,,,
2,38,"(3, 1)",3,1,GridCellAgent,,,,,,,
2,39,"(3, 2)",3,2,GridCellAgent,,,,,,,
2,40,"(3, 3)",3,3,GridCellAgent,,,,,,,
2,41,"(3, 4)",3,4,GridCellAgent,,,,,,,
2,42,"(3, 5)",3,5,GridCellAgent,,,,,,,
2,43,"(3, 6)",3,6,GridCellAgent,,,,,,,
2,44,"(3, 7)",3,7,GridCellAgent,,,,,,,
2,45,"(3, 8)",3,8,GridCellAgent,,,,,,,
2,46,"(3, 9)",3,9,GridCellAgent,,,,,,,
2,47,"(3, 10)",3,10,GridCellAgent,,,,,,,
2,48,"(3, 11)",3,11,GridCellAgent,,,,,,,
2,49,"(4, 0)",4,0,GridCellAgent,,,,,,,
2,50,"(4, 1)",4,1,GridCellAgent,,,,,,,
2,51,"(4, 2)",4,2,GridCellAgent,,,,,,,
2,52,"(4, 3)",4,3,GridCellAgent,,,,,,,
2,53,"(4, 4)",4,4,GridCellAgent,,,,,,,
2,54,"(4, 5)",4,5,GridCellAgent,,,,,,,
2,55,"(4, 6)",4,6,GridCellAgent,,,,,,,
2,56,"(4, 7)",4,7,GridCellAgent,,,,,,,
2,57,"(4, 8)",4,8,GridCellAgent,,,,,,,
2,58,"(4, 9)",4,9,GridCellAgent,,,,,,,
2,59,"(4, 10)",4,10,GridCellAgent,,,,,,,
2,60,"(4, 11)",4,11,GridCellAgent,,,,,,,
2,61,"(5, 0)",5,0,GridCellAgent,,,,,,,
2,62,"(5, 1)",5,1,GridCellAgent,,,,,,,
2,63,"(5, 2)",5,2,GridCellAgent,,,,,,,
2,64,"(5, 3)",5,3,GridCellAgent,,,,,,,
2,65,"(5, 4)",5,4,GridCellAgent,,,,,,,
2,66,"(5, 5)",5,5,GridCellAgent,,,,,,,
2,67,"(5, 6)",5,6,GridCellAgent,,,,,,,
2,68,"(5, 7)",5,7,GridCellAgent,,,,,,,
2,69,"(5, 8)",5,8,GridCellAgent,,,,,,,
2,70,"(5, 9)",5,9,GridCellAgent,,,,,,,
2,71,"(5, 10)",5,10,GridCellAgent,,,,,,,
2,72,"(5, 11)",5,11,GridCellAgent,,,,,,,
2,73,"(6, 0)",6,0,GridCellAgent,,,,,,,
2,74,"(6, 1)",6,1,GridCellAgent,,,,,,,
2,75,"(6, 2)",6,2,GridCellAgent,,,,,,,
2,76,"(6, 3)",6,3,GridCellAgent,,,,,,,
2,77,"(6, 4)",6,4,GridCellAgent,,,,,,,
2,78,"(6, 5)",6,5,GridCellAgent,,,,,,,
2,79,"(6, 6)",6,6,GridCellAgent,,,,,,,
2,80,"(6, 7)",6,7,GridCellAgent,,,,,,,
2,81,"(6, 8)",6,8,GridCellAgent,,,,,,,
2,82,"(6, 9)",6,9,GridCellAgent,,,,,,,
2,83,"(6, 10)",6,10,GridCellAgent,,,,,,,
2,84,"(6, 11)",6,11,GridCellAgent,,,,,,,
2,85,"(7, 0)",7,0,GridCellAgent,,,,,,,
2,86,"(7, 1)",7,1,GridCellAgent,,,,,,,
2,87,"(7, 2)",7,2,GridCellAgent,,,,,,,
2,88,"(7, 3)",7,3,GridCellAgent,,,,,,,
2,89,"(7, 4)",7,4,GridCellAgent,,,,,,,
2,90,"(7, 5)",7,5,GridCellAgent,,,,,,,
2,91,"(7, 6)",7,6,GridCellAgent,,,,,,,
2,92,"(7, 7)",7,7,GridCellAgent,,,,,,,
2,93,"(7, 8)",7,8,GridCellAgent,,,,,,,
2,94,"(7, 9)",7,9,GridCellAgent,,,,,,,
2,95,"(7, 10)",7,10,GridCellAgent,,,,,,,
2,96,"(7, 11)",7,11,GridCellAgent,,,,,,,
2,97,"(8, 0)",8,0,GridCellAgent,,,,,,,
2,98,"(8, 1)",8,1,GridCellAgent,,,,,,,
2,99,"(8, 2)",8,2,GridCellAgent,,,,,,,
2,100,"(8, 3)",8,3,GridCellAgent,,,,,,,
2,101,"(8, 4)",8,4,GridCellAgent,,,,,,,
2,102,"(8, 5)",8,5,GridCellAgent,,,,,,,
2,103,"(8, 6)",8,6,GridCellAgent,,,,,,,
2,104,"(8, 7)",8,7,GridCellAgent,,,,,,,
2,105,"(8, 8)",8,8,GridCellAgent,,,,,,,
2,106,"(8, 9)",8,9,GridCellAgent,,,,,,,
2,107,"(8, 10)",8,10,GridCellAgent,,,,,,,
2,108,"(8, 11)",8,11,GridCellAgent,,,,,,,
2,109,"(9, 0)",9,0,GridCellAgent,,,,,,,
2,110,"(9, 1)",9,1,GridCellAgent,,,,,,,
2,111,"(9, 2)",9,2,GridCellAgent,,,,,,,
2,112,"(9, 3)",9,3,GridCellAgent,,,,,,,
2,113,"(9, 4)",9,4,GridCellAgent,,,,,,,
