Step,AgentID,pos,x,y,agent_type,agent_state,palm_health,drone_battery_level,drone_position_target,drone_on_mission,drone_is_charging,drone_is_curing
0,1,"(0, 0)",0,0,GridCellAgent,,,,,,,
0,2,"(0, 1)",0,1,GridCellAgent,,,,,,,
0,3,"(0, 2)",0,2,GridCellAgent,,,,,,,
0,4,"(0, 3)",0,3,GridCellAgent,,,,,,,
0,5,"(0, 4)",0,4,GridCellAgent,,,,,,,
0,6,"(0, 5)",0,5,GridCellAgent,,,,,,,
0,7,"(0, 6)",0,6,GridCellAgent,,,,,,,
0,8,"(0, 7)",0,7,GridCellAgent,,,,,,,
0,9,"(0, 8)",0,8,GridCellAgent,,,,,,,
0,10,"(0, 9)",0,9,GridCellAgent,,,,,,,
0,11,"(0, 10)",0,10,GridCellAgent,,,,,,,
0,12,"(0, 11)",0,11,GridCellAgent,,,,,,,
0,13,"(1, 0)",1,0,GridCellAgent,,,,,,,
0,14,"(1, 1)",1,1,GridCellAgent,,,,,,,
0,15,"(1, 2)",1,2,GridCellAgent,,,,,,,
0,16,"(1, 3)",1,3,GridCellAgent,,,,,,,
0,17,"(1, 4)",1,4,GridCellAgent,,,,,,,
0,18,"(1, 5)",1,5,GridCellAgent,,,,,,,
0,19,"(1, 6)",1,6,GridCellAgent,,,,,,,
0,20,"(1, 7)",1,7,GridCellAgent,,,,,,,
0,21,"(1, 8)",1,8,GridCellAgent,,,,,,,
0,22,"(1, 9)",1,9,GridCellAgent,,,,,,,
0,23,"(1, 10)",1,10,GridCellAgent,,,,,,,
0,24,"(1, 11)",1,11,GridCellAgent,,,,,,,
0,25,"(2, 0)",2,0,GridCellAgent,,,,,,,
0,26,"(2, 1)",2,1,GridCellAgent,,,,,,,
0,27,"(2, 2)",2,2,GridCellAgent,,,,,,,
0,28,"(2, 3)",2,3,GridCellAgent,,,,,,,
0,29,"(2, 4)",2,4,GridCellAgent,,,,,,,
0,30,"(2, 5)",2,5,GridCellAgent,,,,,,,
0,31,"(2, 6)",2,6,GridCellAgent,,,,,,,
0,32,"(2, 7)",2,7,GridCellAgent,,,,,,,
0,33,"(2, 8)",2,8,GridCellAgent,,,,,,,
0,34,"(2, 9)",2,9,GridCellAgent,,,,,,,
0,35,"(2, 10)",2,10,GridCellAgent,,,,,,,
0,36,"(2, 11)",2,11,GridCellAgent,,,,,,,
0,37,"(3, 0)",3,0,GridCellAgent,,,,,,,
0,38,"(3, 1)",3,1,GridCellAgent,,,,,,,
0,39,"(3, 2)",3,2,GridCellAgent,,,,,,,
0,40,"(3, 3)",3,3,GridCellAgent,,,,,,,
0,41,"(3, 4)",3,4,GridCellAgent,,,,,,,
0,42,"(3, 5)",3,5,GridCellAgent,,,,,,,
0,43,"(3, 6)",3,6,GridCellAgent,,,,,,,
0,44,"(3, 7)",3,7,GridCellAgent,,,,,,,
0,45,"(3, 8)",3,8,GridCellAgent,,,,,,,
0,46,"(3, 9)",3,9,GridCellAgent,,,,,,,
0,47,"(3, 10)",3,10,GridCellAgent,,,,,,,
0,48,"(3, 11)",3,11,GridCellAgent,,,,,,,
0,49,"(4, 0)",4,0,GridCellAgent,,,,,,,
0,50,"(4, 1)",4,1,GridCellAgent,,,,,,,
0,51,"(4, 2)",4,2,GridCellAgent,,,,,,,
0,52,"(4, 3)",4,3,GridCellAgent,,,,,,,
0,53,"(4, 4)",4,4,GridCellAgent,,,,,,,
0,54,"(4, 5)",4,5,GridCellAgent,,,,,,,
0,55,"(4, 6)",4,6,GridCellAgent,,,,,,,
0,56,"(4, 7)",4,7,GridCellAgent,,,,,,,
0,57,"(4, 8)",4,8,GridCellAgent,,,,,,,
0,58,"(4, 9)",4,9,GridCellAgent,,,,,,,
0,59,"(4, 10)",4,10,GridCellAgent,,,,,,,
0,60,"(4, 11)",4,11,GridCellAgent,,,,,,,
0,61,"(5, 0)",5,0,GridCellAgent,,,,,,,
0,62,"(5, 1)",5,1,GridCellAgent,,,,,,,
0,63,"(5, 2)",5,2,GridCellAgent,,,,,,,
0,64,"(5, 3)",5,3,GridCellAgent,,,,,,,
0,65,"(5, 4)",5,4,GridCellAgent,,,,,,,
0,66,"(5, 5)",5,5,GridCellAgent,,,,,,,
0,67,"(5, 6)",5,6,GridCellAgent,,,,,,,
0,68,"(5, 7)",5,7,GridCellAgent,,,,,,,
0,69,"(5, 8)",5,8,GridCellAgent,,,,,,,
0,70,"(5, 9)",5,9,GridCellAgent,,,,,,,
0,71,"(5, 10)",5,10,GridCellAgent,,,,,,,
0,72,"(5, 11)",5,11,GridCellAgent,,,,,,,
0,73,"(6, 0)",6,0,GridCellAgent,,,,,,,
0,74,"(6, 1)",6,1,GridCellAgent,,,,,,,
0,75,"(6, 2)",6,2,GridCellAgent,,,,,,,
0,76,"(6, 3)",6,3,GridCellAgent,,,,,,,
0,77,"(6, 4)",6,4,GridCellAgent,,,,,,,
0,78,"(6, 5)",6,5,GridCellAgent,,,,,,,
0,79,"(6, 6)",6,6,GridCellAgent,,,,,,,
0,80,"(6, 7)",6,7,GridCellAgent,,,,,,,
0,81,"(6, 8)",6,8,GridCellAgent,,,,,,,
0,82,"(6, 9)",6,9,GridCellAgent,,,,,,,
0,83,"(6, 10)",6,10,GridCellAgent,,,,,,,
0,84,"(6, 11)",6,11,GridCellAgent,,,,,,,
0,85,"(7, 0)",7,0,GridCellAgent,,,,,,,
0,86,"(7, 1)",7,1,GridCellAgent,,,,,,,
0,87,"(7, 2)",7,2,GridCellAgent,,,,,,,
0,88,"(7, 3)",7,3,GridCellAgent,,,,,,,
0,89,"(7, 4)",7,4,GridCellAgent,,,,,,,
0,90,"(7, 5)",7,5,GridCellAgent,,,,,,,
0,91,"(7, 6)",7,6,GridCellAgent,,,,,,,
0,92,"(7, 7)",7,7,GridCellAgent,,,,,,,
0,93,"(7, 8)",7,8,GridCellAgent,,,,,,,
0,94,"(7, 9)",7,9,GridCellAgent,,,,,,,
0,95,"(7, 10)",7,10,GridCellAgent,,,,,,,
0,96,"(7, 11)",7,11,GridCellAgent,,,,,,,
0,97,"(8, 0)",8,0,GridCellAgent,,,,,,,
0,98,"(8, 1)",8,1,GridCellAgent,,,,,,,
0,99,"(8, 2)",8,2,GridCellAgent,,,,,,,
0,100,"(8, 3)",8,3,GridCellAgent,,,,,,,
0,101,"(8, 4)",8,4,GridCellAgent,,,,,,,
0,102,"(8, 5)",8,5,GridCellAgent,,,,,,,
0,103,"(8, 6)",8,6,GridCellAgent,,,,,,,
0,104,"(8, 7)",8,7,GridCellAgent,,,,,,,
0,105,"(8, 8)",8,8,GridCellAgent,,,,,,,
0,106,"(8, 9)",8,9,GridCellAgent,,,,,,,
0,107,"(8, 10)",8,10,GridCellAgent,,,,,,,
0,108,"(8, 11)",8,11,GridCellAgent,,,,,,,
0,109,"(9, 0)",9,0,GridCellAgent,,,,,,,
0,110,"(9, 1)",9,1,GridCellAgent,,,,,,,
0,111,"(9, 2)",9,2,GridCellAgent,,,,,,,
