,Step,PalmasTotales,PalmasInfectadas,PalmasSanas,PalmasQuemadas,PalmasDetectadas,DronesTotales,DronesActivos,DronesCargando,EstacionesCarga,Cobertura,ObjetivosCompartidos
0,0,14,1,13,0,0,3,3,0,3,0.0,0
1,1,14,1,13,0,0,3,3,0,3,0.16666666666666666,0
2,2,14,1,13,0,1,3,3,0,3,0.16666666666666666,1
3,3,14,2,12,0,1,3,3,0,3,0.16666666666666666,1
4,4,14,1,13,0,1,3,3,0,3,0.14583333333333334,1
5,5,14,1,13,0,0,3,3,0,3,0.13194444444444445,0
6,6,14,1,13,0,0,3,3,0,3,0.11805555555555555,0
7,7,14,1,13,0,0,3,3,0,3,0.125,0
8,8,14,1,13,0,0,3,3,0,3,0.1388888888888889,0
9,9,14,2,12,0,0,3,3,0,3,0.13194444444444445,0
10,10,14,2,12,0,0,3,3,0,3,0.125,0
11,11,14,2,12,0,0,3,3,0,3,0.125,0
12,12,14,2,12,0,0,3,3,0,3,0.14583333333333334,0
13,13,14,2,12,0,0,3,3,0,3,0.1527777777777778,0
14,14,14,2,12,0,0,3,3,0,3,0.1597222222222222,0
15,15,14,2,12,0,0,3,3,0,3,0.1388888888888889,0
16,16,14,2,12,0,0,3,3,0,3,0.1388888888888889,0
17,17,14,3,11,0,0,3,3,0,3,0.125,0
18,18,14,3,11,0,0,3,3,0,3,0.13194444444444445,0
19,19,14,3,11,0,0,3,3,0,3,0.1736111111111111,0
20,20,14,3,11,0,0,3,3,0,3,0.16666666666666666,0
21,21,14,3,11,0,1,3,3,0,3,0.1597222222222222,1
22,22,14,3,11,0,1,3,3,0,3,0.1388888888888889,1
23,23,14,2,12,0,1,3,3,0,3,0.13194444444444445,1
24,24,14,2,12,0,0,3,3,0,3,0.1111111111111111,0
25,25,14,2,12,0,0,3,3,0,3,0.11805555555555555,0
26,26,14,3,11,0,0,3,3,0,3,0.13194444444444445,0
27,27,14,3,11,0,0,3,3,0,3,0.13194444444444445,0
28,28,14,3,11,0,1,3,3,0,3,0.13194444444444445,1
29,29,14,3,11,0,1,3,3,0,3,0.16666666666666666,1
30,30,14,2,12,0,1,3,3,0,3,0.1597222222222222,1
31,31,14,2,12,0,0,3,3,0,3,0.14583333333333334,0
32,32,14,2,12,0,0,3,3,0,3,0.14583333333333334,0
33,33,14,2,12,0,0,3,3,0,3,0.125,0
34,34,14,2,12,0,0,3,3,0,3,0.125,0
35,35,14,2,12,0,0,3,3,0,3,0.1527777777777778,0
36,36,14,2,12,0,0,3,3,0,3,0.16666666666666666,0
37,37,14,2,12,0,0,3,3,0,3,0.16666666666666666,0
38,38,14,2,12,0,0,3,3,0,3,0.16666666666666666,0
39,39,14,2,12,0,0,3,3,0,3,0.14583333333333334,0
40,40,14,2,12,0,0,3,3,0,3,0.125,0
41,41,14,2,12,0,0,3,3,0,3,0.1111111111111111,0
42,42,14,2,12,0,0,3,3,0,3,0.1111111111111111,0
43,43,14,2,12,0,0,3,3,0,3,0.1527777777777778,0
44,44,14,2,12,0,0,3,3,0,3,0.1527777777777778,0
45,45,14,2,12,0,0,3,3,0,3,0.1875,0
46,46,14,3,11,0,0,3,3,0,3,0.1875,0
47,47,14,3,11,0,0,3,3,0,3,0.1875,0
48,48,14,3,11,0,0,3,3,0,3,0.125,0
49,49,14,3,11,0,0,3,3,0,3,0.125,0
50,50,14,3,11,0,0,3,3,0,3,0.125,0
51,51,14,3,11,0,0,3,3,0,3,0.14583333333333334,0
52,52,14,3,11,0,0,3,3,0,3,0.1527777777777778,0
53,53,14,3,11,0,0,3,3,0,3,0.1388888888888889,0
54,54,14,3,11,0,1,3,3,0,3,0.1527777777777778,1
55,55,14,3,11,0,1,3,3,0,3,0.16666666666666666,1
56,56,14,3,11,0,1,3,3,0,3,0.14583333333333334,1
57,57,14,2,12,0,0,3,3,0,3,0.1736111111111111,0
58,58,14,2,12,0,0,3,3,0,3,0.1875,0
59,59,14,2,12,0,0,3,3,0,3,0.14583333333333334,0
60,60,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
61,61,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
62,62,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
63,63,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
64,64,14,2,12,0,1,3,3,0,3,0.11805555555555555,1
65,65,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
66,66,14,2,12,0,1,3,3,0,3,0.11805555555555555,1
67,67,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
68,68,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
69,69,14,3,11,0,1,3,3,0,3,0.14583333333333334,1
70,70,14,3,11,0,1,3,3,0,3,0.14583333333333334,1
71,71,14,3,11,0,1,3,3,0,3,0.14583333333333334,1
72,72,14,3,11,0,1,3,3,0,3,0.11805555555555555,1
73,73,14,3,11,0,1,3,3,0,3,0.10416666666666667,1
74,74,14,3,11,0,1,3,3,0,3,0.13194444444444445,1
75,75,14,3,11,0,1,3,3,0,3,0.10416666666666667,1
76,76,14,2,12,0,0,3,3,0,3,0.13194444444444445,0
77,77,14,2,12,0,0,3,3,0,3,0.14583333333333334,0
78,78,14,2,12,0,0,3,3,0,3,0.14583333333333334,0
79,79,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
80,80,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
81,81,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
82,82,14,2,12,0,1,3,3,0,3,0.1736111111111111,1
83,83,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
84,84,14,2,12,0,1,3,3,0,3,0.125,1
85,85,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
86,86,14,2,12,0,1,3,3,0,3,0.14583333333333334,1
87,87,14,2,12,0,1,3,3,0,3,0.1736111111111111,1
