,Step,PalmasTotales,PalmasInfectadas,PalmasSanas,PalmasQuemadas,PalmasDetectadas,DronesTotales,DronesActivos,DronesCargando,EstacionesCarga,Cobertura,ObjetivosCompartidos
48,48,26,11,15,0,1,3,3,0,3,0.14583333333333334,1
49,49,26,11,15,0,2,3,3,0,3,0.1597222222222222,2
50,50,26,11,15,0,3,3,3,0,3,0.125,3
51,51,26,11,15,0,3,3,3,0,3,0.10416666666666667,3
52,52,26,12,14,0,3,3,3,0,3,0.10416666666666667,3
53,53,26,12,14,0,4,3,3,0,3,0.10416666666666667,4
54,54,26,12,14,0,3,3,3,0,3,0.10416666666666667,3
55,55,26,13,13,0,6,3,3,0,3,0.10416666666666667,6
56,56,26,13,13,0,6,3,3,0,3,0.125,6
57,57,26,13,13,0,5,3,3,0,3,0.14583333333333334,5
58,58,26,15,11,0,6,3,3,0,3,0.1736111111111111,6
59,59,26,15,11,0,8,3,3,0,3,0.1388888888888889,8
60,60,26,14,12,0,7,3,3,0,3,0.125,7
61,61,26,15,11,0,7,3,3,0,3,0.125,7
62,62,26,15,11,0,8,3,3,0,3,0.1736111111111111,8
63,63,26,15,11,0,9,3,3,0,3,0.1875,9
64,64,26,16,10,0,10,3,3,0,3,0.1875,10
65,65,26,16,10,0,10,3,3,0,3,0.1875,10
66,66,26,17,9,0,10,3,3,0,3,0.1875,10
67,67,26,15,11,0,10,3,3,0,3,0.16666666666666666,10
68,68,26,15,11,0,10,3,3,0,3,0.16666666666666666,10
69,69,26,16,10,0,10,3,3,0,3,0.1527777777777778,10
70,70,26,16,10,0,11,3,3,0,3,0.1527777777777778,11
71,71,26,16,10,0,11,3,2,1,3,0.1527777777777778,11
72,72,26,16,10,0,11,3,3,0,3,0.1527777777777778,11
73,73,26,16,10,0,11,3,3,0,3,0.16666666666666666,11
74,74,26,15,11,0,11,3,3,0,3,0.16666666666666666,11
75,75,26,15,11,0,10,3,3,0,3,0.16666666666666666,10
76,76,26,17,9,0,10,3,3,0,3,0.13194444444444445,10
77,77,26,17,9,0,11,3,3,0,3,0.11805555555555555,11
78,78,26,17,9,0,11,3,3,0,3,0.10416666666666667,11
79,79,26,18,8,0,10,3,3,0,3,0.125,10
80,80,26,18,8,0,10,3,2,1,3,0.125,10
81,81,26,18,8,0,10,3,3,0,3,0.125,10
82,82,26,19,7,0,10,3,3,0,3,0.125,10
83,83,26,19,7,0,9,3,3,0,3,0.125,9
84,84,26,20,6,0,9,3,3,0,3,0.1388888888888889,9
85,85,26,20,6,0,10,3,3,0,3,0.16666666666666666,10
86,86,26,20,6,0,10,3,3,0,3,0.16666666666666666,10
87,87,26,19,7,0,10,3,3,0,3,0.14583333333333334,10
88,88,26,19,7,0,9,3,3,0,3,0.1736111111111111,9
89,89,26,19,7,0,10,3,3,0,3,0.1597222222222222,10
90,90,26,19,7,0,12,3,3,0,3,0.14583333333333334,12
91,91,26,19,7,0,12,3,3,0,3,0.125,12
92,92,26,20,6,0,12,3,3,0,3,0.125,12
93,93,26,20,6,0,12,3,3,0,3,0.125,12
94,94,26,20,6,0,12,3,3,0,3,0.1527777777777778,12
95,95,26,20,6,0,12,3,3,0,3,0.1597222222222222,12
96,96,26,19,7,0,12,3,3,0,3,0.16666666666666666,12
97,97,26,19,7,0,11,3,3,0,3,0.1527777777777778,11
98,98,26,19,7,0,11,3,3,0,3,0.1527777777777778,11
99,99,26,19,7,0,12,3,3,0,3,0.1527777777777778,12
100,100,26,19,7,0,12,3,3,0,3,0.1875,12
101,101,26,18,8,0,12,3,3,0,3,0.1736111111111111,12
102,102,26,18,8,0,11,3,3,0,3,0.16666666666666666,11
103,103,26,18,8,0,11,3,3,0,3,0.1875,11
104,104,26,18,8,0,11,3,3,0,3,0.1875,11
105,105,26,17,9,0,11,3,3,0,3,0.1875,11
106,106,26,17,9,0,10,3,3,0,3,0.1875,10
107,107,26,17,9,0,11,3,3,0,3,0.1875,11
108,108,26,17,9,0,11,3,3,0,3,0.1875,11
109,109,26,18,8,0,11,3,3,0,3,0.1875,11
110,110,26,18,8,0,12,3,3,0,3,0.1875,12
111,111,26,18,8,0,12,3,3,0,3,0.16666666666666666,12
112,112,26,19,7,0,12,3,3,0,3,0.16666666666666666,12
113,113,26,18,8,0,12,3,3,0,3,0.1527777777777778,12
114,114,26,19,7,0,12,3,3,0,3,0.1527777777777778,12
115,115,26,19,7,0,12,3,3,0,3,0.1527777777777778,12
116,116,26,18,8,0,12,3,3,0,3,0.1875,12
117,117,26,18,8,0,12,3,3,0,3,0.18055555555555555,12
118,118,26,18,8,0,11,3,3,0,3,0.1388888888888889,11
119,119,26,18,8,0,11,3,3,0,3,0.1388888888888889,11
120,120,26,18,8,0,11,3,3,0,3,0.125,11
121,121,26,18,8,0,11,3,3,0,3,0.14583333333333334,11
122,122,26,19,7,0,11,3,3,0,3,0.1527777777777778,11
123,123,26,18,8,0,11,3,3,0,3,0.14583333333333334,11
124,124,26,18,8,0,10,3,3,0,3,0.1527777777777778,10
125,125,26,18,8,0,11,3,3,0,3,0.1527777777777778,11
126,126,26,17,9,0,11,3,3,0,3,0.16666666666666666,11
127,127,26,18,8,0,10,3,3,0,3,0.1527777777777778,10
128,128,26,16,9,0,10,3,3,0,3,0.1527777777777778,10
129,129,26,16,9,0,9,3,3,0,3,0.1527777777777778,9
130,130,26,16,9,0,9,3,3,0,3,0.1875,9
131,131,26,16,9,0,9,3,3,0,3,0.1875,9
132,132,26,16,9,0,9,3,3,0,3,0.1875,9
133,133,26,16,9,0,9,3,3,0,3,0.1875,9
134,134,26,15,9,0,8,3,3,0,3,0.1875,8
135,135,26,15,9,0,9,3,3,0,3,0.1875,9
136,136,26,16,8,0,10,3,3,0,3,0.1875,10
137,137,26,15,9,0,10,3,3,0,3,0.1875,10
138,138,26,15,9,0,9,3,3,0,3,0.1875,9
139,139,26,15,8,0,9,3,3,0,3,0.1736111111111111,9
140,140,26,15,8,0,9,3,3,0,3,0.14583333333333334,9
141,141,26,15,8,0,9,3,3,0,3,0.14583333333333334,9
142,142,26,15,8,0,9,3,3,0,3,0.1736111111111111,9
143,143,26,16,7,0,9,3,3,0,3,0.14583333333333334,9
144,144,26,16,7,0,10,3,3,0,3,0.1736111111111111,10
145,145,26,16,7,0,10,3,3,0,3,0.1736111111111111,10
146,146,26,17,6,0,10,3,3,0,3,0.18055555555555555,10
147,147,26,17,6,0,10,3,3,0,3,0.16666666666666666,10
148,148,26,18,5,0,11,3,3,0,3,0.16666666666666666,11
149,149,26,15,7,0,11,3,3,0,3,0.1527777777777778,11
150,150,26,15,7,0,9,3,3,0,3,0.1527777777777778,9
151,151,26,15,7,0,9,3,3,0,3,0.1527777777777778,9
152,152,26,15,7,0,9,3,3,0,3,0.18055555555555555,9
153,153,26,15,7,0,9,3,3,0,3,0.14583333333333334,9
154,154,26,15,7,0,8,3,3,0,3,0.1111111111111111,8
155,155,26,15,7,0,8,3,3,0,3,0.10416666666666667,8
156,156,26,15,7,0,8,3,3,0,3,0.10416666666666667,8
157,157,26,15,7,0,8,3,3,0,3,0.10416666666666667,8
158,158,26,15,7,0,9,3,3,0,3,0.10416666666666667,9
159,159,26,15,7,0,9,3,3,0,3,0.125,9
160,160,26,15,7,0,9,3,3,0,3,0.125,9
161,161,26,14,8,0,9,3,3,0,3,0.125,9
162,162,26,13,8,0,8,3,3,0,3,0.1388888888888889,8
163,163,26,13,8,0,8,3,3,0,3,0.16666666666666666,8
164,164,26,14,7,0,8,3,3,0,3,0.1527777777777778,8
165,165,26,14,7,0,9,3,3,0,3,0.1388888888888889,9
166,166,26,14,7,0,9,3,3,0,3,0.16666666666666666,9
167,167,26,13,8,0,9,3,3,0,3,0.1527777777777778,9
168,168,26,13,8,0,8,3,3,0,3,0.13194444444444445,8
169,169,26,12,9,0,7,3,3,0,3,0.1597222222222222,7
170,170,26,12,9,0,7,3,3,0,3,0.14583333333333334,7
171,171,26,12,9,0,7,3,3,0,3,0.125,7
172,172,26,12,9,0,7,3,3,0,3,0.10416666666666667,7
173,173,26,9,10,0,6,3,3,0,3,0.1388888888888889,6
174,174,26,8,10,0,6,3,3,0,3,0.10416666666666667,6
175,175,26,7,10,0,6,3,3,0,3,0.13194444444444445,6
176,176,26,7,10,0,6,3,3,0,3,0.10416666666666667,6
177,177,26,7,10,0,6,3,3,0,3,0.13194444444444445,6
178,178,26,7,10,0,6,3,3,0,3,0.11805555555555555,6
179,179,26,7,10,0,6,3,3,0,3,0.125,6
180,180,26,7,10,0,6,3,3,0,3,0.14583333333333334,6
181,181,26,7,10,0,6,3,3,0,3,0.14583333333333334,6
182,182,26,7,10,0,6,3,3,0,3,0.125,6
183,183,26,7,10,0,6,3,3,0,3,0.125,6
184,184,26,8,9,0,7,3,3,0,3,0.125,7
185,185,26,7,9,0,6,3,3,0,3,0.14583333333333334,6
186,186,26,8,8,0,6,3,3,0,3,0.14583333333333334,6
187,187,26,8,8,0,6,3,3,0,3,0.1597222222222222,6
188,188,26,8,8,0,6,3,3,0,3,0.1527777777777778,6
189,189,26,7,9,0,6,3,3,0,3,0.14583333333333334,6
190,190,26,7,9,0,5,3,3,0,3,0.1736111111111111,5
191,191,26,7,9,0,6,3,3,0,3,0.14583333333333334,6
192,192,26,7,9,0,6,3,3,0,3,0.1736111111111111,6
193,193,26,7,9,0,7,3,3,0,3,0.14583333333333334,7
194,194,26,8,8,0,7,3,3,0,3,0.1597222222222222,7
195,195,26,8,8,0,8,3,3,0,3,0.125,8
196,196,26,8,8,0,8,3,3,0,3,0.125,8
197,197,26,8,8,0,8,3,3,0,3,0.13194444444444445,8
198,198,26,9,7,0,8,3,3,0,3,0.125,8
199,199,26,8,8,0,8,3,3,0,3,0.13194444444444445,8
200,200,26,8,8,0,7,3,3,0,3,0.125,7
201,201,26,8,8,0,7,3,3,0,3,0.125,7
202,202,26,8,8,0,6,3,3,0,3,0.1111111111111111,6
203,203,26,8,8,0,6,3,3,0,3,0.1111111111111111,6
204,204,26,9,7,0,6,3,3,0,3,0.13194444444444445,6
205,205,26,9,7,0,7,3,3,0,3,0.14583333333333334,7
206,206,26,9,7,0,7,3,3,0,3,0.11805555555555555,7
207,207,26,10,6,0,7,3,3,0,3,0.1111111111111111,7
208,208,26,10,6,0,7,3,3,0,3,0.11805555555555555,7
209,209,26,10,6,0,7,3,3,0,3,0.1111111111111111,7
210,210,26,10,6,0,7,3,3,0,3,0.1111111111111111,7
211,211,26,10,6,0,7,3,3,0,3,0.1111111111111111,7
212,212,26,10,6,0,7,3,3,0,3,0.09722222222222222,7
213,213,26,10,6,0,7,3,3,0,3,0.08333333333333333,7
214,214,26,10,6,0,7,3,3,0,3,0.10416666666666667,7
215,215,26,10,6,0,7,3,3,0,3,0.13194444444444445,7
216,216,26,9,7,0,7,3,3,0,3,0.13194444444444445,7
217,217,26,9,7,0,6,3,3,0,3,0.125,6
218,218,26,9,7,0,6,3,3,0,3,0.125,6
219,219,26,10,6,0,6,3,3,0,3,0.1527777777777778,6
220,220,26,10,6,0,6,3,3,0,3,0.125,6
221,221,26,10,6,0,6,3,3,0,3,0.1527777777777778,6
222,222,26,10,6,0,6,3,3,0,3,0.125,6
223,223,26,10,6,0,6,3,3,0,3,0.1527777777777778,6
224,224,26,10,6,0,6,3,3,0,3,0.125,6
225,225,26,10,6,0,6,3,3,0,3,0.1527777777777778,6
226,226,26,10,6,0,6,3,3,0,3,0.125,6
227,227,26,10,6,0,6,3,3,0,3,0.1527777777777778,6
228,228,26,10,6,0,6,3,3,0,3,0.125,6
229,229,26,10,6,0,6,3,3,0,3,0.1527777777777778,6
230,230,26,10,6,0,6,3,3,0,3,0.125,6
231,231,26,10,6,0,6,3,3,0,3,0.1527777777777778,6
232,232,26,10,6,0,6,3,3,0,3,0.125,6
233,233,26,11,5,0,6,3,3,0,3,0.16666666666666666,6
234,234,26,11,5,0,7,3,3,0,3,0.1527777777777778,7
235,235,26,11,5,0,7,3,3,0,3,0.1527777777777778,7
236,236,26,11,5,0,7,3,3,0,3,0.13194444444444445,7
237,237,26,10,5,0,7,3,3,0,3,0.13194444444444445,7
238,238,26,9,6,0,7,3,3,0,3,0.13194444444444445,7
239,239,26,9,6,0,6,3,3,0,3,0.1527777777777778,6
240,240,26,9,6,0,6,3,3,0,3,0.13194444444444445,6
241,241,26,7,8,0,5,3,3,0,3,0.125,5
242,242,26,8,7,0,4,3,3,0,3,0.125,4
243,243,26,8,7,0,4,3,3,0,3,0.14583333333333334,4
244,244,26,8,7,0,3,3,3,0,3,0.14583333333333334,3
245,245,26,8,7,0,3,3,3,0,3,0.1527777777777778,3
246,246,26,8,7,0,3,3,3,0,3,0.1388888888888889,3
247,247,26,8,7,0,3,3,3,0,3,0.125,3
248,248,26,8,7,0,4,3,3,0,3,0.1597222222222222,4
249,249,26,8,7,0,4,3,3,0,3,0.1597222222222222,4
250,250,26,8,7,0,4,3,3,0,3,0.14583333333333334,4
251,251,26,8,7,0,4,3,3,0,3,0.125,4
252,252,26,8,7,0,4,3,3,0,3,0.10416666666666667,4
253,253,26,8,7,0,4,3,3,0,3,0.125,4
254,254,26,8,7,0,4,3,3,0,3,0.1736111111111111,4
255,255,26,8,7,0,4,3,3,0,3,0.1597222222222222,4
256,256,26,9,6,0,4,3,3,0,3,0.14583333333333334,4
257,257,26,9,6,0,4,3,3,0,3,0.125,4
258,258,26,10,5,0,4,3,3,0,3,0.125,4
259,259,26,11,4,0,4,3,3,0,3,0.125,4
260,260,26,11,4,0,4,3,3,0,3,0.14583333333333334,4
261,261,26,11,4,0,4,3,3,0,3,0.14583333333333334,4
262,262,26,11,4,0,4,3,3,0,3,0.14583333333333334,4
263,263,26,10,5,0,3,3,3,0,3,0.125,3
264,264,26,10,5,0,3,3,3,0,3,0.125,3
265,265,26,10,5,0,3,3,3,0,3,0.1597222222222222,3
266,266,26,10,5,0,5,3,3,0,3,0.125,5
267,267,26,9,6,0,5,3,3,0,3,0.1597222222222222,5
268,268,26,9,6,0,4,3,3,0,3,0.16666666666666666,4
269,269,26,9,6,0,4,3,3,0,3,0.14583333333333334,4
270,270,26,9,6,0,4,3,3,0,3,0.1597222222222222,4
271,271,26,7,8,0,4,3,3,0,3,0.18055555555555555,4
272,272,26,7,8,0,2,3,3,0,3,0.16666666666666666,2
273,273,26,7,8,0,3,3,3,0,3,0.1527777777777778,3
274,274,26,7,8,0,4,3,3,0,3,0.1111111111111111,4
275,275,26,7,8,0,4,3,3,0,3,0.1111111111111111,4
276,276,26,7,8,0,4,3,3,0,3,0.1388888888888889,4
277,277,26,7,8,0,4,3,3,0,3,0.125,4
278,278,26,8,7,0,3,3,3,0,3,0.16666666666666666,3
279,279,26,8,7,0,3,3,3,0,3,0.14583333333333334,3
280,280,26,8,7,0,3,3,3,0,3,0.125,3
281,281,26,7,7,0,3,3,3,0,3,0.10416666666666667,3
282,282,26,7,7,0,3,3,3,0,3,0.08333333333333333,3
283,283,26,7,7,0,3,3,3,0,3,0.0625,3
284,284,26,7,7,0,3,3,3,0,3,0.0625,3
285,285,26,7,7,0,3,3,3,0,3,0.0625,3
286,286,26,8,6,0,3,3,3,0,3,0.0625,3
287,287,26,8,6,0,3,3,3,0,3,0.0625,3
288,288,26,8,6,0,3,3,3,0,3,0.0625,3
289,289,26,8,6,0,3,3,3,0,3,0.0625,3
290,290,26,8,6,0,3,3,3,0,3,0.0625,3
291,291,26,7,7,0,2,3,3,0,3,0.0625,2
292,292,26,7,7,0,2,3,3,0,3,0.0625,2
293,293,26,7,7,0,2,3,3,0,3,0.0763888888888889,2
294,294,26,8,6,0,3,3,3,0,3,0.0763888888888889,3
295,295,26,8,6,0,3,3,3,0,3,0.0763888888888889,3
296,296,26,9,5,0,3,3,3,0,3,0.0763888888888889,3
297,297,26,9,5,0,3,3,3,0,3,0.0763888888888889,3
298,298,26,9,5,0,3,3,3,0,3,0.0763888888888889,3
299,299,26,9,5,0,3,3,3,0,3,0.0763888888888889,3
300,300,26,10,4,0,3,3,3,0,3,0.0763888888888889,3
301,301,26,9,4,0,3,3,3,0,3,0.0763888888888889,3
302,302,26,8,5,0,2,3,3,0,3,0.0763888888888889,2
303,303,26,8,5,0,2,3,3,0,3,0.06944444444444445,2
304,304,26,7,6,0,2,3,3,0,3,0.06944444444444445,2
305,305,26,7,6,0,1,3,3,0,3,0.09722222222222222,1
306,306,26,7,6,0,1,3,3,0,3,0.10416666666666667,1
307,307,26,7,6,0,1,3,3,0,3,0.13194444444444445,1
308,308,26,7,6,0,2,3,3,0,3,0.1111111111111111,2
309,309,26,7,6,0,2,3,3,0,3,0.1388888888888889,2
310,310,26,7,6,0,3,3,3,0,3,0.125,3
311,311,26,8,5,0,3,3,3,0,3,0.125,3
312,312,26,8,5,0,3,3,3,0,3,0.11805555555555555,3
313,313,26,8,5,0,3,3,3,0,3,0.1388888888888889,3
314,314,26,8,5,0,3,3,3,0,3,0.14583333333333334,3
315,315,26,8,5,0,4,3,3,0,3,0.14583333333333334,4
316,316,26,8,5,0,4,3,3,0,3,0.18055555555555555,4
317,317,26,7,6,0,4,3,3,0,3,0.14583333333333334,4
318,318,26,7,6,0,3,3,3,0,3,0.10416666666666667,3
319,319,26,6,7,0,2,3,3,0,3,0.125,2
320,320,26,7,6,0,2,3,3,0,3,0.14583333333333334,2
321,321,26,7,6,0,3,3,3,0,3,0.1736111111111111,3
322,322,26,6,7,0,3,3,3,0,3,0.14583333333333334,3
323,323,26,7,6,0,3,3,3,0,3,0.1736111111111111,3
324,324,26,6,7,0,3,3,3,0,3,0.125,3
325,325,26,6,7,0,2,3,3,0,3,0.16666666666666666,2
326,326,26,6,7,0,2,3,3,0,3,0.14583333333333334,2
327,327,26,6,7,0,2,3,3,0,3,0.1388888888888889,2
328,328,26,6,7,0,2,3,3,0,3,0.1111111111111111,2
329,329,26,5,8,0,2,3,3,0,3,0.1736111111111111,2
330,330,26,5,8,0,1,3,3,0,3,0.11805555555555555,1
331,331,26,5,8,0,1,3,3,0,3,0.10416666666666667,1
332,332,26,6,7,0,2,3,3,0,3,0.11805555555555555,2
333,333,26,6,7,0,2,3,3,0,3,0.10416666666666667,2
334,334,26,6,7,0,2,3,3,0,3,0.11805555555555555,2
335,335,26,6,7,0,2,3,3,0,3,0.10416666666666667,2
336,336,26,6,7,0,2,3,3,0,3,0.13194444444444445,2
337,337,26,5,7,0,2,3,3,0,3,0.10416666666666667,2
338,338,26,5,7,0,2,3,3,0,3,0.11805555555555555,2
339,339,26,5,7,0,2,3,3,0,3,0.14583333333333334,2
340,340,26,5,7,0,2,3,3,0,3,0.11805555555555555,2
341,341,26,5,7,0,2,3,3,0,3,0.10416666666666667,2
342,342,26,5,7,0,2,3,3,0,3,0.13194444444444445,2
343,343,26,4,8,0,2,3,3,0,3,0.10416666666666667,2
344,344,26,4,8,0,1,3,3,0,3,0.14583333333333334,1
345,345,26,4,8,0,1,3,3,0,3,0.125,1
346,346,26,4,8,0,1,3,3,0,3,0.14583333333333334,1
347,347,26,5,7,0,2,3,3,0,3,0.14583333333333334,2
348,348,26,5,7,0,2,3,3,0,3,0.125,2
349,349,26,5,7,0,3,3,3,0,3,0.1736111111111111,3
350,350,26,5,7,0,2,3,3,0,3,0.14583333333333334,2
351,351,26,5,7,0,2,3,3,0,3,0.14583333333333334,2
352,352,26,5,7,0,3,3,3,0,3,0.1875,3
353,353,26,5,7,0,3,3,3,0,3,0.14583333333333334,3
354,354,26,5,7,0,3,3,3,0,3,0.125,3
355,355,26,5,7,0,3,3,3,0,3,0.1527777777777778,3
356,356,26,4,7,0,3,3,3,0,3,0.14583333333333334,3
357,357,26,4,7,0,3,3,3,0,3,0.1736111111111111,3
358,358,26,4,7,0,3,3,3,0,3,0.1736111111111111,3
359,359,26,4,7,0,3,3,3,0,3,0.1527777777777778,3
360,360,26,5,6,0,3,3,3,0,3,0.14583333333333334,3
361,361,26,3,8,0,2,3,3,0,3,0.1527777777777778,2
362,362,26,3,8,0,1,3,3,0,3,0.14583333333333334,1
363,363,26,3,8,0,1,3,3,0,3,0.16666666666666666,1
364,364,26,3,8,0,2,3,3,0,3,0.14583333333333334,2
365,365,26,4,7,0,3,3,3,0,3,0.125,3
366,366,26,5,6,0,3,3,3,0,3,0.125,3
367,367,26,5,6,0,3,3,3,0,3,0.1736111111111111,3
368,368,26,5,6,0,3,3,3,0,3,0.1597222222222222,3
369,369,26,4,7,0,3,3,3,0,3,0.14583333333333334,3
370,370,26,3,8,0,1,3,3,0,3,0.14583333333333334,1
371,371,26,3,8,0,1,3,3,0,3,0.125,1
372,372,26,3,8,0,1,3,3,0,3,0.125,1
373,373,26,3,8,0,0,3,3,0,3,0.125,0
374,374,26,3,8,0,0,3,3,0,3,0.1736111111111111,0
375,375,26,3,8,0,0,3,3,0,3,0.18055555555555555,0
376,376,26,3,8,0,0,3,3,0,3,0.14583333333333334,0
377,377,26,3,8,0,0,3,3,0,3,0.14583333333333334,0
378,378,26,3,8,0,0,3,3,0,3,0.16666666666666666,0
379,379,26,3,8,0,0,3,3,0,3,0.16666666666666666,0
380,380,26,3,8,0,0,3,3,0,3,0.16666666666666666,0
381,381,26,3,8,0,0,3,3,0,3,0.16666666666666666,0
382,382,26,3,8,0,0,3,3,0,3,0.14583333333333334,0
383,383,26,4,7,0,0,3,3,0,3,0.14583333333333334,0
384,384,26,4,7,0,1,3,3,0,3,0.125,1
385,385,26,4,7,0,1,3,3,0,3,0.14583333333333334,1
386,386,26,4,7,0,2,3,3,0,3,0.14583333333333334,2
387,387,26,4,7,0,2,3,3,0,3,0.14583333333333334,2
388,388,26,4,7,0,2,3,3,0,3,0.13194444444444445,2
389,389,26,4,7,0,2,3,3,0,3,0.11805555555555555,2
390,390,26,4,7,0,1,3,3,0,3,0.11805555555555555,1
391,391,26,3,8,0,1,3,3,0,3,0.14583333333333334,1
392,392,26,3,8,0,0,3,3,0,3,0.14583333333333334,0
393,393,26,3,8,0,0,3,3,0,3,0.14583333333333334,0
394,394,26,4,7,0,1,3,3,0,3,0.14583333333333334,1
395,395,26,3,8,0,1,3,3,0,3,0.10416666666666667,1
396,396,26,3,8,0,0,3,3,0,3,0.1388888888888889,0
397,397,26,4,7,0,0,3,3,0,3,0.1736111111111111,0
398,398,26,6,5,0,0,3,3,0,3,0.1736111111111111,0
399,399,26,6,5,0,2,3,3,0,3,0.1527777777777778,2
400,400,26,6,5,0,2,3,3,0,3,0.14583333333333334,2
401,401,26,5,6,0,1,3,3,0,3,0.1736111111111111,1
402,402,26,5,6,0,1,3,3,0,3,0.1388888888888889,1
403,403,26,7,4,0,1,3,3,0,3,0.125,1
404,404,26,7,4,0,1,3,3,0,3,0.09722222222222222,1
405,405,26,7,4,0,1,3,3,0,3,0.08333333333333333,1
406,406,26,7,4,0,1,3,3,0,3,0.09722222222222222,1
407,407,26,7,4,0,1,3,3,0,3,0.08333333333333333,1
408,408,26,7,4,0,1,3,3,0,3,0.1111111111111111,1
409,409,26,7,4,0,1,3,3,0,3,0.09722222222222222,1
410,410,26,7,4,0,1,3,3,0,3,0.09027777777777778,1
411,411,26,7,4,0,1,3,3,0,3,0.11805555555555555,1
412,412,26,8,3,0,1,3,3,0,3,0.09027777777777778,1
413,413,26,8,3,0,1,3,3,0,3,0.10416666666666667,1
414,414,26,8,3,0,1,3,3,0,3,0.08333333333333333,1
415,415,26,8,3,0,1,3,3,0,3,0.10416666666666667,1
416,416,26,8,3,0,1,3,3,0,3,0.11805555555555555,1
417,417,26,8,3,0,1,3,3,0,3,0.14583333333333334,1
418,418,26,8,3,0,1,3,3,0,3,0.11805555555555555,1
419,419,26,8,3,0,1,3,3,0,3,0.10416666666666667,1
420,420,26,8,3,0,1,3,3,0,3,0.11805555555555555,1
421,421,26,8,3,0,1,3,3,0,3,0.10416666666666667,1
422,422,26,8,3,0,1,3,3,0,3,0.11805555555555555,1
423,423,26,8,3,0,1,3,3,0,3,0.14583333333333334,1
424,424,26,8,3,0,1,3,3,0,3,0.11805555555555555,1
425,425,26,8,3,0,1,3,3,0,3,0.10416666666666667,1
426,426,26,8,3,0,1,3,3,0,3,0.13194444444444445,1
427,427,26,8,3,0,1,3,3,0,3,0.11805555555555555,1
428,428,26,8,3,0,1,3,3,0,3,0.09027777777777778,1
429,429,26,8,3,0,1,3,2,1,3,0.06944444444444445,1
430,430,26,8,3,0,1,3,3,0,3,0.09027777777777778,1
431,431,26,7,4,0,0,3,3,0,3,0.10416666666666667,0
