,Step,PalmasTotales,PalmasInfectadas,PalmasSanas,PalmasQuemadas,PalmasDetectadas,DronesTotales,DronesActivos,DronesCargando,EstacionesCarga,Cobertura,ObjetivosCompartidos
0,0,26,1,25,0,0,3,3,0,3,0.0,0
1,1,26,1,25,0,0,3,3,0,3,0.1875,0
2,2,26,2,24,0,0,3,3,0,3,0.16666666666666666,0
3,3,26,2,24,0,0,3,3,0,3,0.16666666666666666,0
4,4,26,2,24,0,0,3,3,0,3,0.16666666666666666,0
5,5,26,2,24,0,2,3,3,0,3,0.1875,2
6,6,26,2,24,0,2,3,3,0,3,0.16666666666666666,2
7,7,26,2,24,0,1,3,3,0,3,0.14583333333333334,1
8,8,26,1,25,0,1,3,3,0,3,0.1527777777777778,1
9,9,26,1,25,0,0,3,3,0,3,0.11805555555555555,0
10,10,26,2,24,0,0,3,3,0,3,0.1388888888888889,0
11,11,26,2,24,0,0,3,3,0,3,0.1736111111111111,0
12,12,26,2,24,0,0,3,3,0,3,0.16666666666666666,0
13,13,26,3,23,0,0,3,3,0,3,0.16666666666666666,0
14,14,26,3,23,0,0,3,3,0,3,0.1875,0
15,15,26,3,23,0,1,3,3,0,3,0.1875,1
16,16,26,4,22,0,1,3,3,0,3,0.1875,1
17,17,26,4,22,0,1,3,3,0,3,0.1597222222222222,1
18,18,26,4,22,0,1,3,3,0,3,0.1597222222222222,1
19,19,26,4,22,0,1,3,3,0,3,0.11805555555555555,1
20,20,26,3,23,0,0,3,3,0,3,0.11805555555555555,0
21,21,26,3,23,0,0,3,3,0,3,0.14583333333333334,0
22,22,26,4,22,0,0,3,3,0,3,0.1736111111111111,0
23,23,26,4,22,0,0,3,3,0,3,0.1527777777777778,0
24,24,26,5,21,0,1,3,3,0,3,0.1527777777777778,1
25,25,26,6,20,0,2,3,3,0,3,0.14583333333333334,2
26,26,26,5,21,0,1,3,3,0,3,0.1736111111111111,1
27,27,26,7,19,0,2,3,3,0,3,0.1736111111111111,2
28,28,26,7,19,0,2,3,3,0,3,0.1597222222222222,2
29,29,26,7,19,0,3,3,3,0,3,0.18055555555555555,3
30,30,26,7,19,0,3,3,3,0,3,0.1597222222222222,3
31,31,26,8,18,0,3,3,3,0,3,0.18055555555555555,3
32,32,26,6,20,0,3,3,3,0,3,0.1597222222222222,3
33,33,26,6,20,0,1,3,3,0,3,0.125,1
34,34,26,6,20,0,1,3,3,0,3,0.1736111111111111,1
35,35,26,7,19,0,2,3,3,0,3,0.14583333333333334,2
36,36,26,8,18,0,2,3,3,0,3,0.1736111111111111,2
37,37,26,9,17,0,2,3,3,0,3,0.14583333333333334,2
38,38,26,9,17,0,2,3,3,0,3,0.1736111111111111,2
39,39,26,8,18,0,2,3,3,0,3,0.14583333333333334,2
40,40,26,8,18,0,1,3,3,0,3,0.125,1
41,41,26,9,17,0,1,3,3,0,3,0.09027777777777778,1
42,42,26,10,16,0,1,3,3,0,3,0.05555555555555555,1
43,43,26,11,15,0,1,3,3,0,3,0.0763888888888889,1
44,44,26,10,16,0,1,3,3,0,3,0.0625,1
45,45,26,11,15,0,0,3,3,0,3,0.10416666666666667,0
46,46,26,11,15,0,0,3,3,0,3,0.1388888888888889,0
47,47,26,11,15,0,0,3,3,0,3,0.1527777777777778,0
